# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1700030434.162279605865479,0.00798,0.00038,0.00026,0.00126,0.00191,0.00157,0.01335
1700030434.229501962661743,0.00582,0.00032,0.00071,0.00119,0.00018,0.00239,0.01061
1700030434.296735048294067,0.00705,0.00034,0.00134,0.00134,0.00398,0.00111,0.01515
1700030434.363978624343872,0.00633,0.00035,0.00090,0.00183,0.00032,0.00264,0.01237
1700030434.430984020233154,0.00779,0.00027,0.00203,0.00128,0.00077,0.00195,0.01409
1700030434.497754096984863,0.00706,0.00031,0.00214,0.00162,0.00030,0.00215,0.01358
1700030434.564531326293945,0.00299,0.00015,0.00001,0.00068,0.00012,0.00098,0.00492
1700030434.631315231323242,0.00293,0.00018,0.00005,0.00084,0.00033,0.00431,0.00864
1700030434.698105335235596,0.00792,0.00033,0.00117,0.00083,0.00039,0.00157,0.01221
1700030434.764901876449585,0.00798,0.00027,0.00112,0.00058,0.00039,0.00209,0.01243
1700030434.831704854965210,0.00788,0.00027,0.00136,0.00045,0.00015,0.00161,0.01174
1700030434.898514509201050,0.00703,0.00029,0.00111,0.00049,0.00041,0.00236,0.01169
1700030434.965329408645630,0.00917,0.00042,0.00106,0.00047,0.00154,0.00140,0.01407
1700030435.032151699066162,0.00536,0.00038,0.00067,0.00080,0.00015,0.00331,0.01067
1700030435.098980188369751,0.00690,0.00036,0.00248,0.00075,0.00093,0.00211,0.01352
1700030435.165815353393555,0.00859,0.00024,0.00032,0.00051,0.00050,0.00211,0.01228
1700030435.232657194137573,0.00791,0.00037,0.00149,0.00039,0.00043,0.00145,0.01204
1700030435.299505233764648,0.00662,0.00041,0.00100,0.00082,0.00210,0.00220,0.01315
1700030435.366359710693359,0.00871,0.00038,0.00040,0.00095,0.00030,0.00192,0.01267
1700030435.433129310607910,0.00653,0.00027,0.00161,0.00055,0.00024,0.00202,0.01122
1700030435.500065803527832,0.00639,0.00031,0.00061,0.00061,0.00151,0.00189,0.01133
1700030435.567259788513184,0.00786,0.00040,0.00155,0.00055,0.00382,0.00101,0.01519
1700030435.634460210800171,0.00819,0.00040,0.00185,0.00094,0.00016,0.00177,0.01331
